服务器,设备,R/W,变量名,描述,变量类型,禁用,初始值
,PSP3,W,DB305.DBX0.1,启动PSP运行,BOOL,,FALSE
,PSP3,W,DB305.DBX0.2,停止PSP运行,BOOL,,FALSE
,PSP3,W,DB305.DBX0.3,故障报警复位PSP运行,BOOL,,FALSE
,PSP3,W,DB305.DBX0.4,PSP紧急停止,BOOL,,FALSE
,PSP3,W,DB305.DBX0.5,火灾报警关闭PSP电源,BOOL,,FALSE
,PSP4,R,DB306.DBX0.0,,BOOL,1,
,PSP4,R,DB306.DBX0.1,PSP停止状态信号,BOOL,,FALSE
,PSP4,R,DB306.DBX0.2,PSP运行状态信号,BOOL,,FALSE
,PSP4,R,DB306.DBX0.3,PSP温度异常过高,BOOL,,FALSE
,PSP4,R,DB306.DBX0.4,PSP温度正常,BOOL,,TRUE
,PSP4,R,DB306.DBX0.5,电柜失电状态信号,BOOL,,FALSE
,PSP4,R,DB306.DBX0.6,电柜送电状态信号,BOOL,,FALSE
,PSP4,R,DB306.DBX0.7,PSP故障报警信号,BOOL,,FALSE
,PSP4,W,DB307.DBX0.1,启动PSP运行,BOOL,,FALSE
,PSP4,W,DB307.DBX0.2,停止PSP运行,BOOL,,FALSE
,PSP4,W,DB307.DBX0.3,故障报警复位PSP运行,BOOL,,FALSE
,PSP4,W,DB307.DBX0.4,PSP紧急停止,BOOL,,FALSE
,PSP4,W,DB307.DBX0.5,火灾报警关闭PSP电源,BOOL,,FALSE
,PSP5,R,DB308.DBX0.0,,BOOL,1,
,PSP5,R,DB308.DBX0.1,PSP停止状态信号,BOOL,,FALSE
,PSP5,R,DB308.DBX0.2,PSP运行状态信号,BOOL,,FALSE
,PSP5,R,DB308.DBX0.3,PSP温度异常过高,BOOL,,FALSE
,PSP5,R,DB308.DBX0.4,,BOOL,1,TRUE
,PSP5,R,DB308.DBX0.5,电柜失电状态信号,BOOL,,FALSE
,PSP5,R,DB308.DBX0.6,电柜送电状态信号,BOOL,,FALSE
,PSP5,R,DB308.DBX0.7,PSP故障报警信号,BOOL,,FALSE
,PSP5,W,DB309.DBX0.1,启动PSP运行,BOOL,,FALSE
,PSP5,W,DB309.DBX0.2,停止PSP运行,BOOL,,FALSE
,PSP5,W,DB309.DBX0.3,故障报警复位PSP运行,BOOL,,FALSE
,PSP5,W,DB309.DBX0.4,PSP紧急停止,BOOL,,FALSE
,PSP5,W,DB309.DBX0.5,火灾报警关闭PSP电源,BOOL,,FALSE
,PSP6,R,DB310.DBX0.0,,BOOL,1,
,PSP6,R,DB310.DBX0.1,PSP停止状态信号,BOOL,,FALSE
,PSP6,R,DB310.DBX0.2,PSP运行状态信号,BOOL,,FALSE
,PSP6,R,DB310.DBX0.3,PSP温度异常过高,BOOL,,FALSE
,PSP6,R,DB310.DBX0.4,PSP温度正常,BOOL,,TRUE
,PSP6,R,DB310.DBX0.5,电柜失电状态信号,BOOL,,FALSE
,PSP6,R,DB310.DBX0.6,电柜送电状态信号,BOOL,,FALSE
,PSP6,R,DB310.DBX0.7,PSP故障报警信号,BOOL,,FALSE
,PSP6,W,DB311.DBX0.1,启动PSP运行,BOOL,,FALSE
,PSP6,W,DB311.DBX0.2,停止PSP运行,BOOL,,FALSE
,PSP6,W,DB311.DBX0.3,故障报警复位PSP运行,BOOL,,FALSE
,PSP6,W,DB311.DBX0.4,PSP紧急停止,BOOL,,FALSE
,PSP6,W,DB311.DBX0.5,火灾报警关闭PSP电源,BOOL,,FALSE
,PSP7,R,DB312.DBX0.0,,BOOL,1,
,PSP7,R,DB312.DBX0.1,PSP停止状态信号,BOOL,,FALSE
,PSP7,R,DB312.DBX0.2,PSP运行状态信号,BOOL,,FALSE
,PSP7,R,DB312.DBX0.3,PSP温度异常过高,BOOL,,FALSE
,PSP7,R,DB312.DBX0.4,PSP温度正常,BOOL,,TRUE
,PSP7,R,DB312.DBX0.5,电柜失电状态信号,BOOL,,FALSE
,PSP7,R,DB312.DBX0.6,电柜送电状态信号,BOOL,,FALSE
,PSP7,R,DB312.DBX0.7,PSP故障报警信号,BOOL,,FALSE
,PSP7,W,DB313.DBX0.1,启动PSP运行,BOOL,,FALSE
,PSP7,W,DB313.DBX0.2,停止PSP运行,BOOL,,FALSE
,PSP7,W,DB313.DBX0.3,故障报警复位PSP运行,BOOL,,FALSE
,PSP7,W,DB313.DBX0.4,PSP紧急停止,BOOL,,FALSE
,PSP7,W,DB313.DBX0.5,火灾报警关闭PSP电源,BOOL,,FALSE
,PSP8,R,DB314.DBX0.0,,BOOL,1,
,PSP8,R,DB314.DBX0.1,PSP停止状态信号,BOOL,,FALSE
,PSP8,R,DB314.DBX0.2,PSP运行状态信号,BOOL,,FALSE
,PSP8,R,DB314.DBX0.3,PSP温度异常过高,BOOL,,FALSE
,PSP8,R,DB314.DBX0.4,PSP温度正常,BOOL,,TRUE
,PSP8,R,DB314.DBX0.5,电柜失电状态信号,BOOL,,FALSE
,PSP8,R,DB314.DBX0.6,电柜送电状态信号,BOOL,,FALSE
,PSP8,R,DB314.DBX0.7,PSP故障报警信号,BOOL,,FALSE
,PSP8,W,DB315.DBX0.1,启动PSP运行,BOOL,,FALSE
,PSP8,W,DB315.DBX0.2,停止PSP运行,BOOL,,FALSE
,PSP8,W,DB315.DBX0.3,故障报警复位PSP运行,BOOL,,FALSE
,PSP8,W,DB315.DBX0.4,PSP紧急停止,BOOL,,FALSE
,PSP8,W,DB315.DBX0.5,火灾报警关闭PSP电源,BOOL,,FALSE
,AutoDoor1,R,DB320.DBX0.2,系统开机状态,BOOL,,TRUE/FALSE
,AutoDoor1,R,DB320.DBX0.3,系统自动运行状态,BOOL,,TRUE/FALSE
,AutoDoor1,R,DB320.DBX0.4,门关闭状态,BOOL,,TRUE/FALSE
,AutoDoor1,R,DB320.DBX0.5,门开启状态,BOOL,,TRUE/FALSE
,AutoDoor1,R,DB320.DBX0.6,开门中,BOOL,,TRUE/FALSE
,AutoDoor1,R,DB320.DBX0.7,关门中,BOOL,,TRUE/FALSE
,AutoDoor1,R,DB320.DBX0.8,开门完成,BOOL,,TRUE/FALSE
,AutoDoor1,R,DB320.DBX0.9,关门完成,BOOL,,TRUE/FALSE
,AutoDoor1,R,DB320.DBX0.10,Auto Door 故障报错状态,BOOL,,TRUE/FALSE
,AutoDoor1,W,DB321.DBX0.0,启动运行,BOOL,,TRUE/FALSE
,AutoDoor1,W,DB321.DBX0.1,停止运行,BOOL,,TRUE/FALSE
,AutoDoor1,W,DB321.DBX0.2,开门按钮,BOOL,,TRUE/FALSE
,AutoDoor1,W,DB321.DBX0.3,关门按钮,BOOL,,TRUE/FALSE
,AutoDoor1,W,DB321.DBX0.4,紧急停止按钮,BOOL,,TRUE/FALSE
,AutoDoor1,W,DB321.DBX0.5,故障复位,BOOL,,TRUE/FALSE
,AutoDoor2,R,DB322.DBX0.2,系统开机状态,BOOL,,TRUE/FALSE
,AutoDoor2,R,DB322.DBX0.3,系统自动运行状态,BOOL,,TRUE/FALSE
,AutoDoor2,R,DB322.DBX0.4,门关闭状态,BOOL,,TRUE/FALSE
,AutoDoor2,R,DB322.DBX0.5,门开启状态,BOOL,,TRUE/FALSE
,AutoDoor2,R,DB322.DBX0.6,开门中,BOOL,,TRUE/FALSE
,AutoDoor2,R,DB322.DBX0.7,关门中,BOOL,,TRUE/FALSE
,AutoDoor2,R,DB322.DBX0.8,开门完成,BOOL,,TRUE/FALSE
,AutoDoor2,R,DB322.DBX0.9,关门完成,BOOL,,TRUE/FALSE
,AutoDoor2,R,DB322.DBX0.10,Auto Door 故障报错状态,BOOL,,TRUE/FALSE
,AutoDoor2,W,DB323.DBX0.0,启动运行,BOOL,,TRUE/FALSE
,AutoDoor2,W,DB323.DBX0.1,停止运行,BOOL,,TRUE/FALSE
,AutoDoor2,W,DB323.DBX0.2,开门按钮,BOOL,,TRUE/FALSE
,AutoDoor2,W,DB323.DBX0.3,关门按钮,BOOL,,TRUE/FALSE
,AutoDoor2,W,DB323.DBX0.4,紧急停止按钮,BOOL,,TRUE/FALSE
,AutoDoor2,W,DB323.DBX0.5,故障复位,BOOL,,TRUE/FALSE
